                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5239,                 12.012,                 1.4251,                0.08947,                   0.25,                0.11604,                0.07303,                0.98953,                 27.691,                 1.0415,              4.641e-05,              4.641e-05,              4.641e-05
                      2,                 1.2011,                 5.2362,                 1.1727,                0.47148,                   0.25,                0.15551,                0.11511,                 1.2026,                 12.265,                 1.0782,             9.6072e-05,             9.6072e-05,             9.6072e-05
                      3,                 1.0001,                 3.5019,                  1.091,                 0.6862,                0.33333,                0.55264,                0.47454,                 1.0259,                 4.4727,                0.97765,              0.0001454,              0.0001454,              0.0001454
                      4,                0.88086,                 3.2729,                0.98016,                0.89527,                0.43741,                0.58594,                0.46567,                 1.0414,                 3.3817,                0.97933,             0.00019441,             0.00019441,             0.00019441
                      5,                0.83264,                 2.6187,                0.95599,                0.15141,                0.83333,                0.63569,                0.51269,                 1.0856,                 3.4888,                 1.0722,             0.00024308,             0.00024308,             0.00024308
                      6,                 1.0065,                 2.1219,                 1.1196,                0.80706,                0.82873,                0.82917,                0.67219,                 1.0118,                 2.5203,                 1.0215,             0.00029142,             0.00029142,             0.00029142
                      7,                0.87763,                 1.8476,                 1.0505,                0.84953,                0.47897,                0.74625,                0.56383,                 1.1636,                 3.1979,                 1.1417,             0.00033943,             0.00033943,             0.00033943
                      8,                 0.8678,                 1.6581,                 1.0447,                0.57225,                0.68376,                0.69083,                 0.5118,                 1.2528,                 3.0331,                 1.1312,             0.00034875,             0.00034875,             0.00034875
                      9,                0.91335,                 1.5696,                 1.0266,                0.82494,                0.58333,                0.75646,                0.60517,                 1.1351,                  2.267,                 1.1084,             0.00034875,             0.00034875,             0.00034875
                     10,                 0.8769,                 1.3826,                  1.011,                0.57269,                0.78513,                0.82917,                0.66958,                0.97222,                 2.3833,                0.99572,             0.00034758,             0.00034758,             0.00034758
                     11,                0.82845,                 1.4256,                0.96642,                0.64329,                0.77888,                0.91208,                0.66608,                  1.102,                 2.5572,                 1.0092,              0.0003464,              0.0003464,              0.0003464
                     12,                0.79316,                 1.2673,                 1.0142,                0.28585,                      1,                  0.995,                0.70617,                 1.1456,                 2.7033,                  1.033,             0.00034522,             0.00034522,             0.00034522
                     13,                 0.7923,                 1.3554,                 1.0285,                0.90756,                    0.5,                0.91208,                0.64808,                 1.1135,                 2.2635,                 1.0391,             0.00034404,             0.00034404,             0.00034404
                     14,                 0.9401,                 1.4562,                 1.0602,                0.76078,                0.66667,                0.82917,                0.63433,                 1.0857,                 1.8364,                0.97681,             0.00034286,             0.00034286,             0.00034286
                     15,                0.83518,                 1.2807,                 1.0071,                0.80697,                0.58333,                0.80139,                0.63662,                 1.1056,                 2.6307,                 1.1036,             0.00034168,             0.00034168,             0.00034168
                     16,                0.79593,                 1.1188,                  1.001,                0.76123,                0.80994,                0.82917,                0.61775,                 1.1174,                 2.1166,                 1.0425,             0.00034051,             0.00034051,             0.00034051
                     17,                0.77519,                 1.0613,                0.95301,                0.83617,                0.66667,                  0.995,                0.73383,                 1.0774,                 2.3777,                 1.0796,             0.00033933,             0.00033933,             0.00033933
                     18,                0.77826,                 1.2742,                 1.0482,                0.81988,                0.79289,                  0.995,                0.78979,                0.97951,                 1.7318,                 1.0318,             0.00033815,             0.00033815,             0.00033815
                     19,                0.78332,                 0.9826,                 1.0187,                 0.8036,                0.66667,                  0.995,                0.76079,                 1.0362,                  1.885,                 1.0625,             0.00033697,             0.00033697,             0.00033697
                     20,                0.73216,                0.90969,                0.99008,                0.85489,                0.66667,                  0.995,                0.75042,                 1.0531,                 1.9958,                  1.084,             0.00033579,             0.00033579,             0.00033579
                     21,                0.80837,                0.94309,                 1.0041,                0.80079,                0.81329,                  0.995,                0.71725,                 1.0879,                 1.4793,                 1.1376,             0.00033462,             0.00033462,             0.00033462
                     22,                0.74961,                0.84938,                0.99908,                0.65982,                0.66667,                0.78833,                0.57275,                 1.0377,                 2.4747,                  1.111,             0.00033344,             0.00033344,             0.00033344
                     23,                0.75259,                0.97821,                0.99292,                0.56111,                0.91667,                0.87125,                0.65975,                 1.0876,                 2.2675,                 1.0449,             0.00033226,             0.00033226,             0.00033226
                     24,                0.74652,                0.88696,                0.97277,                 0.6842,                0.79555,                  0.995,                0.75662,                 1.0518,                 1.6236,                 1.1192,             0.00033108,             0.00033108,             0.00033108
                     25,                 0.7203,                 0.7891,                0.97796,                0.81742,                0.76143,                  0.995,                0.74004,                 1.0676,                 1.3824,                 1.0647,              0.0003299,              0.0003299,              0.0003299
                     26,                0.75954,                0.79866,                0.99732,                0.77873,                0.77064,                0.82917,                0.66129,                0.98868,                  2.034,                 1.0276,             0.00032873,             0.00032873,             0.00032873
