                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4123,                 7.7714,                 1.1376,                0.23202,                0.33157,                0.24993,                0.20264,                0.69291,                 5.8061,                0.86155,             0.00011636,             0.00011636,             0.00011636
                      2,                0.98054,                 3.1559,                  1.004,                0.14499,                0.61944,                0.28875,                 0.2431,                0.64421,                 2.3331,                0.86291,             0.00023458,             0.00023458,             0.00023458
                      3,                0.94858,                 2.4833,                 1.0077,                0.25239,                0.59792,                0.35324,                0.28458,                0.73695,                 1.8999,                0.88414,             0.00035202,             0.00035202,             0.00035202
                      4,                0.93054,                  2.221,                 1.0193,                0.22622,                0.55311,                0.33088,                0.26979,                0.62352,                 2.5434,                0.84723,             0.00035347,             0.00035347,             0.00035347
                      5,                0.88192,                  2.004,                 1.0106,                 0.3143,                0.54817,                0.45991,                0.38496,                 0.6292,                 1.8987,                0.86711,             0.00035347,             0.00035347,             0.00035347
                      6,                0.87567,                  1.888,                 1.0158,                0.28527,                0.71193,                0.47001,                0.39586,                0.63255,                  1.956,                0.87354,             0.00035229,             0.00035229,             0.00035229
                      7,                 0.8834,                 1.7471,                 1.0273,                0.33132,                0.71893,                0.50464,                0.41126,                0.72279,                 1.9057,                0.90255,             0.00035111,             0.00035111,             0.00035111
                      8,                0.83045,                  1.617,                  1.011,                0.37033,                0.72163,                0.53368,                0.46416,                0.59921,                 1.6969,                0.88527,             0.00034993,             0.00034993,             0.00034993
                      9,                0.84997,                 1.5225,                 1.0157,                0.37485,                0.63297,                0.58955,                0.49564,                0.62562,                 1.9717,                0.90086,             0.00034875,             0.00034875,             0.00034875
                     10,                0.81818,                 1.5344,                 1.0163,                0.40236,                0.67209,                  0.607,                0.52481,                0.59885,                 1.5414,                0.88971,             0.00034758,             0.00034758,             0.00034758
                     11,                  0.797,                 1.4848,                 1.0169,                0.33305,                0.74759,                0.58924,                0.50196,                0.60309,                 1.6697,                0.88491,              0.0003464,              0.0003464,              0.0003464
                     12,                 0.7789,                 1.4016,                  1.014,                0.39253,                0.68765,                 0.5896,                0.49522,                0.65543,                 1.5895,                0.90616,             0.00034522,             0.00034522,             0.00034522
                     13,                0.79172,                 1.3729,                 1.0301,                0.43036,                0.70115,                0.62708,                0.54489,                0.56034,                 1.4612,                0.88409,             0.00034404,             0.00034404,             0.00034404
                     14,                0.77688,                 1.3461,                 1.0146,                0.45655,                0.73774,                0.70912,                0.62404,                0.55584,                 1.2508,                0.90002,             0.00034286,             0.00034286,             0.00034286
                     15,                0.79216,                 1.3138,                 1.0214,                0.51994,                0.78352,                0.66895,                 0.6053,                0.47968,                 1.2432,                0.88401,             0.00034168,             0.00034168,             0.00034168
                     16,                0.75775,                 1.2771,                 1.0136,                0.49903,                 0.5949,                0.63889,                0.55932,                0.56275,                 1.5138,                0.87733,             0.00034051,             0.00034051,             0.00034051
                     17,                0.76946,                 1.2824,                  1.013,                0.47462,                0.73061,                0.69283,                0.59186,                0.70518,                 1.4982,                0.91923,             0.00033933,             0.00033933,             0.00033933
                     18,                0.75113,                 1.2008,                 1.0075,                0.48392,                0.80127,                0.69837,                0.60137,                0.57822,                 1.2471,                0.88956,             0.00033815,             0.00033815,             0.00033815
                     19,                0.76741,                  1.212,                 1.0157,                0.59964,                0.66386,                0.68278,                0.61336,                0.52347,                  1.422,                0.88941,             0.00033697,             0.00033697,             0.00033697
                     20,                0.73776,                 1.1603,                0.98839,                0.49203,                0.76318,                0.68542,                0.58495,                0.64906,                 1.3993,                0.93816,             0.00033579,             0.00033579,             0.00033579
                     21,                0.73012,                 1.1539,                 1.0039,                0.46628,                0.78891,                 0.7187,                0.60376,                0.58919,                 1.2299,                0.90006,             0.00033462,             0.00033462,             0.00033462
                     22,                0.75515,                 1.1133,                 1.0104,                0.69042,                0.64897,                0.78384,                0.69082,                0.50927,                 1.1156,                 0.8901,             0.00033344,             0.00033344,             0.00033344
                     23,                0.73343,                 1.1113,                 1.0087,                0.48663,                0.69823,                0.73498,                0.65564,                0.49025,                 1.3819,                0.88887,             0.00033226,             0.00033226,             0.00033226
                     24,                0.71134,                 1.0625,                0.98773,                0.56857,                0.69892,                0.73253,                0.65267,                0.57662,                  1.111,                0.89678,             0.00033108,             0.00033108,             0.00033108
                     25,                0.72234,                 1.0616,                0.98935,                0.52158,                0.79757,                 0.7392,                0.66223,                0.48067,                 1.2438,                0.88761,              0.0003299,              0.0003299,              0.0003299
                     26,                0.71725,                 1.0124,                0.99467,                0.65165,                0.72129,                0.76444,                0.68839,                0.45847,                 1.0548,                0.88358,             0.00032873,             0.00032873,             0.00032873
                     27,                0.70808,                 1.0452,                0.99863,                0.67099,                0.63474,                0.73677,                0.64737,                0.52278,                  1.124,                0.89387,             0.00032755,             0.00032755,             0.00032755
                     28,                0.69017,                 1.0256,                  0.976,                 0.5322,                0.80134,                0.73835,                0.63906,                0.57282,                 1.3701,                0.90071,             0.00032637,             0.00032637,             0.00032637
                     29,                 0.6988,                0.99681,                0.99264,                0.56005,                0.77172,                0.78394,                0.70719,                0.45856,                 1.0986,                0.87146,             0.00032519,             0.00032519,             0.00032519
                     30,                0.68319,                 0.9967,                0.98114,                 0.6146,                 0.7046,                0.74559,                0.63931,                0.60972,                 1.1735,                0.91813,             0.00032401,             0.00032401,             0.00032401
                     31,                0.67489,                0.99058,                0.97018,                 0.7036,                 0.6594,                0.78265,                0.70849,                0.48578,                 1.0822,                0.88638,             0.00032284,             0.00032284,             0.00032284
                     32,                0.68879,                0.96207,                0.98294,                0.68078,                0.63272,                0.72747,                0.63222,                0.59376,                 1.5215,                0.92476,             0.00032166,             0.00032166,             0.00032166
                     33,                0.70102,                0.95254,                 0.9835,                0.59542,                0.71098,                0.75194,                 0.6526,                0.54532,                 1.4242,                0.91067,             0.00032048,             0.00032048,             0.00032048
                     34,                0.68327,                0.93769,                0.97061,                0.60947,                0.74597,                0.76204,                0.66683,                0.63242,                 1.2519,                0.92108,              0.0003193,              0.0003193,              0.0003193
                     35,                0.68783,                0.93517,                0.99028,                0.68831,                0.68363,                0.80015,                0.72523,                0.43102,                0.91571,                0.88354,             0.00031812,             0.00031812,             0.00031812
                     36,                0.67837,                0.89994,                0.98233,                0.59517,                0.74736,                0.77211,                0.69599,                0.47416,                 1.1138,                0.90107,             0.00031694,             0.00031694,             0.00031694
                     37,                0.63871,                0.88914,                0.95806,                0.67181,                0.76303,                0.80738,                0.72793,                0.46186,                 1.0648,                0.89399,             0.00031577,             0.00031577,             0.00031577
                     38,                0.67479,                 0.8745,                0.96712,                0.54141,                0.79952,                 0.7531,                0.66095,                0.63487,                 1.0409,                   0.93,             0.00031459,             0.00031459,             0.00031459
                     39,                0.66004,                0.87545,                0.97339,                0.72852,                0.62772,                0.74234,                0.65288,                0.53199,                 1.1152,                0.89901,             0.00031341,             0.00031341,             0.00031341
                     40,                0.63689,                0.83528,                0.95245,                0.58319,                0.82688,                0.77597,                 0.7019,                0.46374,                 1.2268,                0.88221,             0.00031223,             0.00031223,             0.00031223
                     41,                 0.6612,                0.87802,                0.96659,                 0.5103,                0.74307,                 0.7356,                0.66096,                 0.5356,                 1.2078,                0.89616,             0.00031105,             0.00031105,             0.00031105
                     42,                0.63749,                0.87335,                0.95215,                0.69347,                0.65307,                0.77824,                0.68829,                0.56802,                 1.5628,                 0.8996,             0.00030988,             0.00030988,             0.00030988
                     43,                0.63235,                 0.8555,                0.95681,                0.51948,                0.73486,                0.73108,                0.63118,                0.62389,                  1.363,                0.92475,              0.0003087,              0.0003087,              0.0003087
                     44,                0.64133,                0.83365,                 0.9572,                 0.6392,                0.72051,                0.78555,                0.70357,                0.48074,                 1.1262,                0.89443,             0.00030752,             0.00030752,             0.00030752
                     45,                 0.6138,                0.80098,                   0.95,                0.58755,                0.79431,                0.79204,                0.72363,                0.42949,                 1.1584,                 0.8876,             0.00030634,             0.00030634,             0.00030634
                     46,                0.64152,                0.79677,                0.95344,                0.66098,                0.81407,                0.78688,                 0.7082,                0.47365,                 1.0035,                0.89017,             0.00030516,             0.00030516,             0.00030516
                     47,                 0.6231,                0.81339,                0.95445,                0.63853,                0.76826,                0.77884,                0.68472,                0.51213,                 1.1205,                0.89746,             0.00030399,             0.00030399,             0.00030399
                     48,                0.61501,                0.83347,                0.94489,                0.63962,                0.74868,                0.76007,                0.67238,                0.53246,                 1.1762,                 0.9018,             0.00030281,             0.00030281,             0.00030281
                     49,                0.63552,                0.79333,                 0.9557,                0.68051,                0.68249,                0.77545,                0.70178,                0.46039,                 1.0354,                 0.8925,             0.00030163,             0.00030163,             0.00030163
                     50,                0.61553,                 0.7893,                0.94228,                0.61477,                0.76257,                0.80871,                 0.7326,                0.45238,                  1.008,                0.89194,             0.00030045,             0.00030045,             0.00030045
                     51,                0.59726,                0.77809,                0.93828,                0.56081,                0.89706,                0.80047,                0.70474,                0.54819,                 1.1528,                0.90032,             0.00029927,             0.00029927,             0.00029927
                     52,                0.59488,                0.77709,                0.93921,                0.67414,                0.63396,                0.75087,                 0.6777,                0.47261,                 1.1921,                0.88321,              0.0002981,              0.0002981,              0.0002981
                     53,                0.61179,                0.77395,                0.94659,                0.50183,                0.80931,                0.76737,                0.68308,                0.48696,                 1.1979,                0.90335,             0.00029692,             0.00029692,             0.00029692
                     54,                0.59682,                0.75451,                0.94418,                0.62096,                0.75488,                 0.7819,                 0.6942,                0.50088,                 1.2659,                0.89949,             0.00029574,             0.00029574,             0.00029574
                     55,                0.61107,                0.76283,                 0.9348,                0.52378,                0.80872,                0.77554,                0.69531,                0.46347,                 1.1539,                0.89145,             0.00029456,             0.00029456,             0.00029456
                     56,                0.58785,                0.73745,                0.93949,                 0.5664,                 0.6709,                 0.7404,                0.65152,                0.53947,                 1.2594,                0.90237,             0.00029338,             0.00029338,             0.00029338
                     57,                0.58882,                0.75579,                0.92873,                0.62594,                0.79749,                0.80605,                0.73625,                0.46762,                0.95417,                0.88372,              0.0002922,              0.0002922,              0.0002922
                     58,                0.59854,                0.74828,                0.94007,                0.56411,                0.88246,                0.80681,                0.73408,                0.52193,                 1.1264,                0.91102,             0.00029103,             0.00029103,             0.00029103
                     59,                0.59826,                0.73396,                 0.9367,                0.62215,                0.68718,                0.77434,                 0.6874,                0.52212,                  1.356,                0.90395,             0.00028985,             0.00028985,             0.00028985
                     60,                0.58658,                0.73079,                0.93217,                0.60097,                0.77861,                0.76183,                0.70502,                0.45827,                 1.1158,                0.88114,             0.00028867,             0.00028867,             0.00028867
