                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.78909,                 1.1856,                 1.0344,                0.52674,                0.76176,                 0.6876,                 0.5998,                0.56375,                 1.2142,                0.93724,              0.0093466,              0.0093466,              0.0093466
                     36,                 0.7775,                 1.1955,                 1.0295,                0.38802,                0.76918,                0.59095,                0.49746,                0.70616,                 1.5262,                0.97872,              0.0093268,              0.0093268,              0.0093268
                     37,                0.74783,                 1.1635,                 1.0133,                0.60916,                0.70816,                0.73898,                0.64869,                0.54708,                 1.1257,                0.92821,               0.009307,               0.009307,               0.009307
                     38,                0.75922,                 1.1638,                 1.0182,                0.47557,                0.77424,                0.70954,                0.63363,                0.53264,                 1.0944,                0.92846,              0.0092872,              0.0092872,              0.0092872
                     39,                0.75097,                 1.1611,                 1.0194,                0.47194,                0.62522,                 0.5763,                0.47322,                0.64164,                 1.5432,                 0.9453,              0.0092674,              0.0092674,              0.0092674
                     40,                0.74879,                  1.136,                 1.0099,                0.50814,                0.78074,                 0.7072,                0.61334,                 0.5321,                 1.2198,                 0.9176,              0.0092476,              0.0092476,              0.0092476
                     41,                0.77616,                  1.133,                 1.0169,                0.29921,                0.53778,                0.47545,                0.41103,                 0.6491,                 2.0806,                0.95493,              0.0092278,              0.0092278,              0.0092278
                     42,                0.73654,                  1.139,                0.99731,                0.33104,                0.69021,                0.55888,                0.46719,                0.72483,                 1.7812,                0.97937,               0.009208,               0.009208,               0.009208
                     43,                0.73697,                 1.1257,                 1.0046,                 0.6178,                0.65476,                0.71217,                0.63097,                0.51863,                 1.1868,                0.92197,              0.0091882,              0.0091882,              0.0091882
                     44,                0.74465,                 1.1094,                 1.0003,                0.57188,                0.66494,                0.70285,                0.63192,                0.49863,                 1.0822,                0.89724,              0.0091684,              0.0091684,              0.0091684
                     45,                0.73806,                 1.0875,                 1.0019,                0.53032,                0.75465,                0.70419,                0.62208,                0.53263,                  1.074,                0.90365,              0.0091486,              0.0091486,              0.0091486
                     46,                0.73582,                 1.0719,                  0.998,                 0.6353,                0.69913,                0.72726,                0.64881,                0.47081,                 1.0237,                0.90062,              0.0091288,              0.0091288,              0.0091288
                     47,                0.72288,                 1.0927,                 1.0039,                0.51359,                0.77975,                0.73458,                0.65898,                0.47195,                 1.0452,                  0.896,               0.009109,               0.009109,               0.009109
                     48,                0.70966,                 1.0858,                0.98653,                0.56199,                0.66749,                0.69745,                0.58893,                0.68983,                 1.2795,                0.95112,              0.0090892,              0.0090892,              0.0090892
                     49,                0.73304,                 1.0619,                 1.0072,                0.61596,                0.76707,                0.79338,                0.72392,                0.44685,                0.96744,                0.88984,              0.0090694,              0.0090694,              0.0090694
                     50,                0.71083,                 1.0693,                0.98884,                 0.5617,                0.73592,                 0.7426,                0.67904,                0.47054,                 1.1089,                 0.8915,              0.0090496,              0.0090496,              0.0090496
                     51,                0.70977,                 1.0532,                0.98897,                 0.5808,                0.66508,                0.66517,                0.58089,                0.62683,                 1.4384,                0.93442,              0.0090298,              0.0090298,              0.0090298
