                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0909,                 5.9651,                0.98087,                0.20181,                0.67416,                0.34272,                0.29003,                0.64297,                 3.3526,                0.82936,             0.00012596,             0.00012596,             0.00012596
                      2,                  0.802,                 2.6976,                0.90425,                0.27462,                0.69825,                0.39762,                0.33564,                0.54221,                  2.097,                0.81342,             0.00025345,             0.00025345,             0.00025345
                      3,                0.76262,                 2.1463,                0.89443,                0.37702,                0.58874,                0.46988,                0.39889,                0.57232,                 1.9384,                0.88562,              0.0003801,              0.0003801,              0.0003801
                      4,                0.74383,                 1.9198,                0.90185,                0.36384,                0.80634,                0.53455,                0.46803,                0.45854,                  1.952,                0.85212,             0.00038119,             0.00038119,             0.00038119
                      5,                 0.7396,                 1.7179,                0.90503,                0.41639,                 0.7332,                0.51919,                0.45365,                0.53484,                 1.6766,                0.88156,             0.00038119,             0.00038119,             0.00038119
                      6,                0.72328,                 1.6816,                0.90355,                0.33002,                0.79536,                0.61818,                0.55331,                0.43222,                  1.503,                 0.8577,             0.00037992,             0.00037992,             0.00037992
                      7,                0.71004,                 1.5369,                0.90708,                0.46427,                0.73277,                 0.6458,                0.57811,                0.39984,                 1.5147,                0.86435,             0.00037865,             0.00037865,             0.00037865
                      8,                0.68238,                  1.397,                0.88755,                  0.413,                0.82842,                0.61036,                0.55411,                0.42689,                 1.5345,                0.85625,             0.00037738,             0.00037738,             0.00037738
                      9,                0.68156,                 1.3799,                0.89057,                0.44862,                0.82942,                0.69974,                0.61583,                0.50629,                 1.4212,                 0.8834,             0.00037611,             0.00037611,             0.00037611
                     10,                0.67341,                 1.3256,                0.89565,                0.66375,                0.60321,                0.73172,                0.66316,                0.43638,                 1.3433,                0.87313,             0.00037484,             0.00037484,             0.00037484
                     11,                0.65981,                 1.2832,                0.89129,                0.56143,                0.72175,                 0.7343,                0.68364,                 0.4286,                 1.3715,                0.85552,             0.00037357,             0.00037357,             0.00037357
                     12,                0.64809,                 1.2574,                0.89003,                0.47347,                 0.7716,                0.69276,                0.63335,                0.35647,                 1.2278,                0.85377,             0.00037229,             0.00037229,             0.00037229
                     13,                0.63728,                 1.1781,                0.88437,                0.55598,                0.72219,                0.72145,                0.66288,                 0.4037,                  1.067,                0.85927,             0.00037102,             0.00037102,             0.00037102
                     14,                0.62639,                 1.1469,                0.88253,                0.68586,                0.75054,                0.82058,                0.76613,                0.36739,                0.91947,                0.84472,             0.00036975,             0.00036975,             0.00036975
                     15,                0.60781,                 1.0784,                0.88025,                0.55464,                0.70418,                0.71224,                0.65237,                0.39002,                 1.0593,                0.85185,             0.00036848,             0.00036848,             0.00036848
                     16,                0.61533,                 1.0896,                0.87811,                0.67726,                0.73828,                0.78972,                0.70912,                0.53285,                 1.0518,                0.88238,             0.00036721,             0.00036721,             0.00036721
                     17,                0.61752,                 1.0794,                 0.8799,                0.54214,                0.82935,                0.76564,                0.71466,                0.37706,                 1.1701,                0.86085,             0.00036594,             0.00036594,             0.00036594
                     18,                0.61656,                 1.0587,                0.87441,                0.57687,                0.79987,                0.77691,                0.71312,                0.43903,                 0.9896,                0.87591,             0.00036467,             0.00036467,             0.00036467
                     19,                0.59025,                 1.0206,                0.87705,                0.63444,                0.64935,                0.73348,                0.68626,                0.33393,                 1.1487,                0.85195,              0.0003634,              0.0003634,              0.0003634
                     20,                0.58871,                 1.0016,                0.87797,                0.61669,                0.74064,                0.78196,                0.72034,                0.43108,                0.94419,                   0.87,             0.00036213,             0.00036213,             0.00036213
                     21,                0.58238,                0.94615,                0.87282,                0.55408,                0.84765,                0.79792,                0.74551,                 0.3549,                0.97432,                0.84911,             0.00036086,             0.00036086,             0.00036086
                     22,                0.58857,                0.92805,                  0.878,                  0.589,                0.77135,                0.81359,                0.73924,                0.46286,                 1.1909,                0.87495,             0.00035959,             0.00035959,             0.00035959
                     23,                0.59039,                0.93992,                0.86755,                 0.7451,                0.69223,                0.83298,                0.76552,                 0.3993,                0.87681,                0.86643,             0.00035832,             0.00035832,             0.00035832
                     24,                0.59953,                0.92388,                0.87524,                0.63753,                0.82313,                0.80494,                0.76608,                0.35796,                 1.0006,                0.85006,             0.00035705,             0.00035705,             0.00035705
                     25,                0.58966,                0.87783,                0.87546,                0.58829,                0.78116,                0.81561,                 0.7428,                0.40498,                 0.9345,                0.86546,             0.00035578,             0.00035578,             0.00035578
                     26,                0.59598,                0.90839,                0.87662,                0.59112,                0.75626,                0.82327,                0.76777,                0.44824,                0.94237,                0.85832,             0.00035451,             0.00035451,             0.00035451
                     27,                0.57977,                 0.8717,                0.87749,                0.68903,                0.86099,                0.84647,                0.78014,                0.43749,                0.80204,                0.86604,             0.00035324,             0.00035324,             0.00035324
                     28,                 0.5835,                0.88012,                0.86901,                0.67862,                0.69361,                 0.7796,                0.70304,                   0.48,                 1.1492,                0.88182,             0.00035197,             0.00035197,             0.00035197
                     29,                0.57103,                0.85237,                0.86651,                0.70369,                0.73888,                0.82217,                0.74368,                 0.5103,                0.90475,                0.88445,              0.0003507,              0.0003507,              0.0003507
                     30,                0.56314,                0.84335,                0.86893,                0.78042,                0.61962,                0.80776,                0.75848,                0.36399,                0.96087,                0.85426,             0.00034943,             0.00034943,             0.00034943
