                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1282,                 5.5081,                 4.4867,                      0,                      0,                      0,                      0,                 3.3033,                 5.2914,                 4.1714,             0.00012477,             0.00012477,             0.00012477
                      2,                 2.9534,                 5.2878,                 4.1323,                      0,                      0,                      0,                      0,                 3.2595,                 5.1127,                 4.1692,              0.0002506,              0.0002506,              0.0002506
                      3,                 2.8624,                 5.0926,                 3.8482,                      0,                      0,                      0,                      0,                 3.4125,                 4.6832,                 4.1898,             0.00037388,             0.00037388,             0.00037388
                      4,                 2.6818,                 4.9287,                 3.5723,                0.00593,                0.21599,                0.01019,                0.00579,                 2.9082,                 4.2032,                 3.7312,             0.00037357,             0.00037357,             0.00037357
                      5,                 2.6483,                 4.8341,                 3.3937,                0.97476,                 0.0068,                0.02282,                0.00486,                 1.5353,                 4.6865,                 2.2431,             0.00037357,             0.00037357,             0.00037357
                      6,                 2.6632,                 4.7686,                   3.26,                0.96694,                 0.0068,                0.01676,                0.00414,                 1.4133,                 6.8599,                 2.2044,             0.00036975,             0.00036975,             0.00036975
                      7,                 2.5111,                 4.6799,                 3.1422,                 0.8787,                0.01361,                0.03705,                0.01244,                 1.8161,                 4.8027,                 2.9625,             0.00036594,             0.00036594,             0.00036594
                      8,                 2.4171,                 4.6247,                 3.0595,                0.00334,                0.90102,                0.02877,                0.01181,                 1.6595,                 4.0164,                 2.2113,             0.00036213,             0.00036213,             0.00036213
                      9,                   2.37,                 4.6126,                 3.0226,                0.00344,                0.91122,                0.05091,                0.01248,                 1.4606,                 4.1279,                 2.0909,             0.00035832,             0.00035832,             0.00035832
                     10,                 2.2343,                 4.5308,                 2.9146,                0.83149,                 0.0666,                0.11952,                0.03012,                 1.8204,                 3.9063,                 2.5636,             0.00035451,             0.00035451,             0.00035451
                     11,                 2.2192,                 4.5026,                 2.8628,                0.00789,                0.89036,                0.03578,                0.01225,                 1.7371,                 3.7692,                 2.5161,              0.0003507,              0.0003507,              0.0003507
